"";"id";"Country";"iso3";"Region";"Date";"Measure_L1";"Measure_L2";"Measure_L3";"Measure_L4";"Comment";"Source"
"1413";1413;"Indonesia";"IDN";"Indonesia";"20/03/2020";"Healthcare and public health capacity";"Increase in medical supplies and equipment";"Import";"Thermometers";"The equipment includes (...) infrared thermometers.";"https://www.thejakartapost.com/news/2020/03/23/jakartas-emergency-hospital-for-covid-19-open-for-business.html"
"1414";1414;"Indonesia";"IDN";"Indonesia";"20/03/2020";"Healthcare and public health capacity";"Increase availability of PPE";"Face masks, gloves, protective clothing, goggles, shoe cover";"Import";"The equipment includes disposable masks, N-95 masks, protective clothing, goggles, gloves, shoe covers, (...) and surgical caps.";"https://www.thejakartapost.com/news/2020/03/23/jakartas-emergency-hospital-for-covid-19-open-for-business.html"
"1415";1415;"Indonesia";"IDN";"Indonesia";"02/02/2020";"Social distancing";"Return operation of nationals living in regions at risk";"Wuhan";"Repatriation and quarantine.";"""The Indonesian government evacuated 243 Indonesian nationals from Wuhan, China. The repatriated Indonesians were placed under quarantine in the Natuna Islands.""";"https://theinsiderstories.com/indonesia-evacuates-243-citizens-from-wuhan/"
"1416";1416;"Indonesia";"IDN";"Indonesia";"24/02/2020";"Social distancing";"Return operation of nationals living in regions at risk";"Evacuation from cruise ships";"";"On Sunday afternoon, March 1, 2020, at 12:10 Tokyo time, the repatriation process began for Indonesian crew members who had been quarantined for more than two weeks on the Diamond Princess cruise ship in Yokohama.";"https://kemlu.go.id/portal/en/read/1094/berita/repatriation-of-indonesian-crew-members-from-the-diamond-princess-cruise-ship"
"1417";1417;"Indonesia";"IDN";"Indonesia";"12/03/2020";"Social distancing";"Work safety protocols";"";"Mandatory COVID-19 prevention equipment.";"The Minister of Manpower (Menaker) Ida Fauziyah reminded company leaders throughout Indonesia to implement anticipatory and preventive measures to spread the corona virus (COVID-19) in the work environment.";"https://finance.detik.com/berita-ekonomi-bisnis/d-4935342/perusahaan-wajib-sediakan-masker-demi-cegah-corona"
"1418";1418;"Indonesia";"IDN";"Jakarta";"20/03/2020";"Social distancing";"Mass gathering cancellation";"Festivals, faith-based events";"Mosques halt Friday prayers and mass religious activites";"""Istiqlal mosque halted Friday prayer for 2 weeks after Anies Baswedan and Indonesian Council of Ulama requested to halt mass religious activities in Jakarta.""";"https://www.thejakartapost.com/news/2020/03/19/covid-19-jakarta-limits-nyepi-rituals-suspends-prayers-at-mosque-church-for-two-weeks.html"
"1419";1419;"Indonesia";"IDN";"Indonesia";"22/01/2020";"Case identification, contact tracing and related measures";"Airport health check";"Measure temperature";"Thermal scanners at airport gates and port docks";"""Coronavirus Update; MRT Begins Checking Passengers' Temperature""";"https://www.newsflare.com/video/335034/health-education/indonesian-border-authorities-implement-thermal-scanners-at-airports-due-to-coronavirus-outbreak"
"1420";1420;"Indonesia";"IDN";"Jakarta";"04/03/2020";"Case identification, contact tracing and related measures";"Health check at train stations";"Measure temperature";"Thermal scanners at train stations";"denying access to those with symptoms of high fever";"https://en.tempo.co/read/1315360/coronavirus-update-mrt-begins-checking-passengers-temperature"
"1421";1421;"Indonesia";"IDN";"Indonesia";"13/03/2020";"Healthcare and public health capacity";"Increase patient capacity";"Increase number of medical institutions";"the government designated 132 treatment facilities across Indonesia";"""Menteri Kesehatan Tetapkan 132 Rumah Sakit Rujukan COVID-19 » Info Infeksi Emerging Kementerian Kesehatan RI""";"https://infeksiemerging.kemkes.go.id/situasi-infeksi-emerging/info-corona-virus/menteri-kesehatan-tetapkan-132-rumah-sakit-rujukan-covid-19/"
"1422";1422;"Indonesia";"IDN";"Indonesia";"13/03/2020";"Healthcare and public health capacity";"Enhance emergency response mechanisms";"National task force";"The government also established Coronavirus Disease Mitigation Acceleration Task Force";"""Jokowi Tunjuk Doni Monardo Jadi Panglima Pemberantas Corona""";"https://www.cnbcindonesia.com/news/20200313212424-4-144838/jokowi-tunjuk-doni-monardo-jadi-panglima-pemberantas-corona"
"1423";1423;"Indonesia";"IDN";"Indonesia";"13/03/2020";"Travel restriction";"Non-essential travels forbidden";"";"suspend all non-essential travel to foreign country";"""Cegah Tertular Corona, Mendagri Minta Kepala Daerah hingga DPRD Tak ke LN""";"https://news.detik.com/berita/d-4939923/cegah-tertular-corona-mendagri-minta-kepala-daerah-hingga-dprd-tak-ke-ln"
"1424";1424;"Indonesia";"IDN";"Indonesia";"14/03/2020";"Healthcare and public health capacity";"Enhance emergency response mechanisms";"Declare national disaster";"declared the coronavirus outbreak as a national disaster, but not an emergency";"""Kemenkes: Corona Bencana Nasional, Bukan Darurat Nasional""";"https://news.detik.com/berita/d-4939175/kemenkes-corona-bencana-nasional-bukan-darurat-nasional"
"1425";1425;"Indonesia";"IDN";"Indonesia";"15/03/2020";"Social distancing";"Mass gathering cancellation";"Place of worship";"""Under the current conditions, it’s time for us to work from home, study from home and worship at home""";"""Jokowi calls for ‘social distancing’ to stem virus spread""";"https://www.thejakartapost.com/news/2020/03/15/jokowi-calls-for-social-distancing-to-stem-virus-spread.html"
"1426";1426;"Indonesia";"IDN";"Indonesia";"15/03/2020";"Social distancing";"Recommendation for home office";"";"Also home study";"""Under the current conditions, it’s time for us to work from home, study from home and worship at home""";"https://www.thejakartapost.com/news/2020/03/15/jokowi-calls-for-social-distancing-to-stem-virus-spread.html"
"1427";1427;"Indonesia";"IDN";"Some regions";"15/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"All";"Regional heads in a number of areas have decided to temporarily close schools and public areas";"https://www.thejakartapost.com/news/2020/03/15/jokowi-calls-for-social-distancing-to-stem-virus-spread.html"
"1428";1428;"Indonesia";"IDN";"Indonesia";"18/03/2020";"Healthcare and public health capacity";"Increase patient capacity";"Increase number of medical institutions";"More hospitals ready to receive patients";"227 additional hospitals are provisioned to cover more patients across the country";"https://news.detik.com/berita/d-4943816/pemerintah-tambah-rs-untuk-perawatan-pasien-virus-corona-totalnya-359"
"1429";1429;"Indonesia";"IDN";"Indonesia";"18/03/2020";"Risk communication";"Educate and actively communicate with the public";"Answer to questions";"launching covid19.go.id site";"""Govt launches official website furnishing information on COVID-19""";"https://en.antaranews.com/news/144002/govt-launches-official-website-furnishing-information-on-covid-19"
"1430";1430;"Indonesia";"IDN";"Indonesia";"22/03/2020";"Healthcare and public health capacity";"Increase patient capacity";"Emergency hospitals";"COVID-19 emergency hospital in Jakarta";"""Former Asian Games athletes village turned into COVID-19 hospital""";"https://www.thejakartapost.com/multimedia/2020/03/22/former-asian-games-athletes-village-turned-into-covid-19-hospital.html"
"1431";1431;"Indonesia";"IDN";"Jakarta";"02/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"";"Jakarta governor Anies Baswedan halted the issuance of permits for large gatherings";"https://news.detik.com/berita/d-4922558/ada-positif-corona-anies-tak-keluarkan-izin-keramaian-baru"
"1432";1432;"Indonesia";"IDN";"Jakarta";"04/03/2020";"Case identification, contact tracing and related measures";"Airport health check";"Thermal scanners at train stations";"deny access to those with symptoms of high fever";"""Coronavirus Update; MRT Begins Checking Passengers' Temperature""";"https://en.tempo.co/read/1315360/coronavirus-update-mrt-begins-checking-passengers-temperature"
"1433";1433;"Indonesia";"IDN";"Jakarta";"13/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"several tourist destinations in Jakarta were closed for 2 weeks";"""Anies Tutup Monas, Ragunan hingga Ancol 2 Pekan untuk Cegah Corona""";"https://news.detik.com/berita/d-4938105/anies-tutup-monas-ragunan-hingga-ancol-2-pekan-untuk-cegah-corona"
"1434";1434;"Indonesia";"IDN";"Jakarta";"14/03/2020";"Social distancing";"Closure of educational institutions";"Schools closed";"All";"""COVID-19: Jakarta suspends schools, exams for two weeks""";"https://www.thejakartapost.com/news/2020/03/14/covid-19-jakarta-suspends-schools-exams-for-two-weeks.html"
"1435";1435;"Indonesia";"IDN";"Jakarta";"15/03/2020";"Healthcare and public health capacity";"Increase patient capacity";"Beds";"Jakarta provincial government prepared 500 to 1,000 beds";"""Pemprov DKI Siapkan 500-1.000 Tempat Tidur di RS Rujukan untuk PDP Corona""";"https://news.detik.com/berita/d-4940014/pemprov-dki-siapkan-500-1000-tempat-tidur-di-rs-rujukan-untuk-pdp-corona"
"1436";1436;"Indonesia";"IDN";"Jakarta";"16/03/2020";"Social distancing";"Public transport";"Reduce service";"started to reduce number of trips, corridors and timetables";"""Anies Pangkas Rute & Jam Operasi TJ, MRT, dan LRT Jakarta""";"https://www.cnbcindonesia.com/news/20200315190337-4-145011/anies-pangkas-rute-jam-operasi-tj-mrt-dan-lrt-jakarta"
"1437";1437;"Indonesia";"IDN";"Jakarta";"16/03/2020";"Social distancing";"Public transport";"Increase service";"reduction policy was retracted due to long queue in many bus stops and train stations in morning";"""Anies: Armada Bus Transjakarta-MRT Disesuaikan Seperti Semula di Rush Hour""";"https://news.detik.com/berita/d-4941613/anies-armada-bus-transjakarta-mrt-disesuaikan-seperti-semula-di-rush-hour"
"1438";1438;"Indonesia";"IDN";"Jakarta";"20/03/2020";"Healthcare and public health capacity";"Enhance emergency response mechanisms";"Declare emergency state";"Jakarta provincial government extends the state of emergency until 19 April";"""Pemprov DKI Perpanjang Masa Tanggap Darurat Covid-19 sampai 19 April 2020""";"https://megapolitan.kompas.com/read/2020/03/28/17121551/pemprov-dki-perpanjang-masa-tanggap-darurat-covid-19-sampai-19-april-2020"
"1439";1439;"Indonesia";"IDN";"Jakarta";"02/04/2020";"Resource allocation";"Crisis management plans";"Financial allocation";"Allocates Rp3tn that will be used to fund the city's fight against the virus up until May";"""Anies Baswedan Allocates Rp3tn to Fight Coronavirus Outbreak""";"https://en.tempo.co/read/1327240/anies-baswedan-allocates-rp3tn-to-fight-coronavirus-outbreak"
"1440";1440;"Indonesia";"IDN";"Jakarta";"10/04/2020";"Travel restriction";"Individual movement restrictions";"Curfew";"approved on 7 April and is set to take effect from 10 April for at least two weeks";"""COVID-19: Jakarta to tighten mobility restrictions""";"https://www.thejakartapost.com/news/2020/04/08/covid-19-jakarta-to-tighten-mobility-restrictions.html"
"1441";1441;"Italy";"ITA";"Italy";"21/01/2020";"Case identification, contact tracing and related measures";"Surveillance";"";"";"In Italy, a surveillance network is active on the new coronavirus (2019-nCoV).";"http://www.salute.gov.it/portale/news/p3_2_4_1_1.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5372 --- http://www.salute.gov.it/portale/news/p3_2_4_1_1.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5451"
"1442";1442;"Italy";"ITA";"Italy";"22/01/2020";"Healthcare and public health capacity";"Enhance emergency response mechanisms";"Set up crisis units";"national";"This morning, the Task Force met at the Ministry of Health to coordinate every initiative related to the 2019-nCoV coronavirus phenomenon.";"http://www.salute.gov.it/portale/news/p3_2_4_1_1.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5373"
"1443";1443;"Italy";"ITA";"Italy";"22/01/2020";"Case identification, contact tracing and related measures";"Specific health channel for travellers";"From China";"Wuhan";"A specific health channel is already active for all travelers from the Chinese city of Wuhan.";"http://www.salute.gov.it/portale/news/p3_2_4_1_1.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5373"
