"parent","link","child","value"
"Information campaign","L3-L4","Government on social media",1
"Information campaign","L3-L4","Health advisory posters for travellers arriving from Wuhan at airport",1
"Information campaign","L3-L4","How to protect yourself against Covid-19",1
"Information campaign","L3-L4","Information campaign about Covid-19 prevention",2
"Information campaign","L3-L4","Information center",1
"Information campaign","L3-L4","Information in airplanes that land in Spain",1
"Information campaign","L3-L4","Launching of a cooperative team with the governement, media and social media influencers to ensure official communication about COVD-19 is reaching all population groups.",1
"Information campaign","L3-L4","Managing kids mental health during covid-19",2
"Information campaign","L3-L4","Map of the positive results per municipality",1
"Information campaign","L3-L4","Ministry of Health Campaign ""This Virus We Stop Together"" is launched",1
"Information campaign","L3-L4","Mobile message to inform public about gathering ban",1
"Information campaign","L3-L4","national -tv, press",1
"Information campaign","L3-L4","On hand hygiene and social distancing",1
"Information campaign","L3-L4","On social distancing and hand hygiene",1
"Information campaign","L3-L4","Partnership with leading social media companies, businesses, leaders, and individuals from across the state",1
"Information campaign","L3-L4","Phone alert sent by the government",1
"Information campaign","L3-L4","Phone and media",1
"Information campaign","L3-L4","Posters at railway stations",1
"Information campaign","L3-L4","press release",1
"Information campaign","L3-L4","Press release",1
"Information campaign","L3-L4","Press Release",1
"Information campaign","L3-L4","Prevention spot",1
"Information campaign","L3-L4","Provide list of dentistic centers",1
"Information campaign","L3-L4","Provide list of medical centers and coordinates",1
"Information campaign","L3-L4","Public transport, billboards at stations, posters",1
"Information campaign","L3-L4","Radio and TV",1
"Information campaign","L3-L4","Recommendations on how to proceede if feeling sick, twitter",1
"Information campaign","L3-L4","Risk communication documents",2
"Information campaign","L3-L4","Smartphone push alerts, blog posts and regular briefings streamed live on YouTube",1
"Information campaign","L3-L4","SMS",1
"Information campaign","L3-L4","SMS to all Slovak citizens abroad",1
"Information campaign","L3-L4","Social media",2
"Information campaign","L3-L4","Spot in the national TV",1
"Information campaign","L3-L4","Through churches",1
"Information campaign","L3-L4","Throughout all channels",1
"Information campaign","L3-L4","TV",1
"Information campaign","L3-L4","TV, radio, social media",1
"Information campaign","L3-L4","Twitter",1
"Information campaign","L3-L4","Twitter: public briefings on State's response to covid-19",1
"Information campaign","L3-L4","Via SMS",1
"Insure access to gas/electricity/water/telecommunications","L3-L4","",2
"Insure access to gas/electricity/water/telecommunications","L3-L4","Ensure electricity supply",1
"Insure access to gas/electricity/water/telecommunications","L3-L4","Ensure unlimited Internet access to public webpages",1
"Insure access to gas/electricity/water/telecommunications","L3-L4","Ensure water supply",1
"Insure access to gas/electricity/water/telecommunications","L3-L4","Faciliate access to Internet",2
"Insure access to gas/electricity/water/telecommunications","L3-L4","Flexibility in bill payment for vulnerable customers",8
"Insure access to gas/electricity/water/telecommunications","L3-L4","Free unlimited usage to customers",1
"Insure access to gas/electricity/water/telecommunications","L3-L4","Government fully absorb electricity bills for vulnerable populations",1
"Insure access to gas/electricity/water/telecommunications","L3-L4","Prevent water shut-off",1
"Insure access to gas/electricity/water/telecommunications","L3-L4","Provide help for online procedures to vulnerable persons",1
"International Monetary Fund","L3-L4","Borrowing money",1
"Isolating and treating cases are priotities","L3-L4","The response measures are more focused on isolating and treating potential cases than tracing an individual case.",1
"Isolation centers","L3-L4","",4
"Isolation centers","L3-L4","In long-term care facilities",1
"Isolation centers","L3-L4","In workers dormitories",1
"Isolation centers","L3-L4","Increase number of beds",1
"Isolation centers","L3-L4","New isolation structure for non-severe cases",2
"Land border controls","L3-L4","",5
"Land border controls","L3-L4","Applies to passengers from Bosnia and Herzegowina travelling to Serbia or Montenegro.",1
"Land border controls","L3-L4","Austria",1
"Land border controls","L3-L4","Austria and Slovenia",1
"Land border controls","L3-L4","Austrian border",1
"Land border controls","L3-L4","Border controls (re-instaured)",1
"Land border controls","L3-L4","Borders open for goods",1
"Land border controls","L3-L4","Germany",1
"Land border controls","L3-L4","Italy",1
"Land border controls","L3-L4","Liechtenstein, Slovenia",1
"Land border controls","L3-L4","Slovenia and Austria",1
"Land border controls","L3-L4","USA",1
"Land borders closed","L3-L4","",5
"Land borders closed","L3-L4","Albania, North Macendonia",1
"Land borders closed","L3-L4","Argentina, Bolivia, Colombia, French Guiana, Guyana, Paraguay, Peru and Suriname",1
"Land borders closed","L3-L4","Borders closed except Brunei and Kalimantan",1
"Land borders closed","L3-L4","Croatia",1
"Land borders closed","L3-L4","Italy",2
"Land borders closed","L3-L4","Lebanon",1
"Land borders closed","L3-L4","Montenegro, Kosovo, North Macedonia, and Greece",1
"Land borders closed","L3-L4","Morocco",1
"Land borders closed","L3-L4","Partial",1
"Land borders closed","L3-L4","Serbia",1
"Land borders closed","L3-L4","Slovenia, Hungary",1
"Land borders closed","L3-L4","Venezuela only",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from  Austria, Belgium, Switzerland, France, Italy, Germany, Iran, UK, Netherlands, Spain, USA, Turkey",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Afghanistan, Philippines, Malaysia",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Austria, Belgium, Switzerland, USA, UK, Netherlands, Turkey, Iran",2
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Belgium, France, Iran, Italy, UK, Netherlands, Spain, USA, Turkey",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from China",5
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from China, Iran, Italy, Switzerland, France, Spain, the United Kingdom, the Netherlands, Russia and Ukraine",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Doha/Qatar",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from European Union, the European Free Trade Association, Turkey and United Kingdom",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from France, Germany",2
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Germany and France",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Hubei",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Iran",3
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Iran, South Korea and flights from the northern Italian airports",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Italy",5
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Italy, China, South Korea and Iran",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Italy, South Korea",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Philippines, India, Egypt, Syria, Sri Lanka and Lebanon.",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from South Korea",2
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from South Korea and Italy",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from South Korea and Northern Italy",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from South Korea, Iran, and high-risk areas in Italy",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from South Korea, Lombardy, Veneto, Emilia Romaga",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Spain",3
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Spain, France, Switzerland",2
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from UK, Turkey",1
"Landing bans on aircrafts from high risk areas","L3-L4","Aircrafts from Wuhan",1
"Landing bans on aircrafts from high risk areas","L3-L4","China",1
"Landing bans on aircrafts from high risk areas","L3-L4","From northern Italy: only 2 airports",1
"Landing bans on aircrafts from high risk areas","L3-L4","Persons with a travel history in the past 14 days in those regions are banned from landing: China, South Korea, Italy, San Marino, Switzerland, Spain, Iceland, Iran + Foreigners who have Chinese passports issued in Hubei Province or Zhejiang Province of the People's Republic of China + Foreigners who were on the cruise ship Westerdam, departed from Hong Kong",1
"Law defining the standards for isolation of cases","L3-L4","",1
