,Measure_L1,Measure_L2,Measure_L3,Measure_L4
2241,Risk communication,Educate and actively communicate with the public,Travel recommendations for the public,
2243,Risk communication,Educate and actively communicate with the public,,Situation in China and  Macao
2244,Risk communication,Educate and actively communicate with the public,,Situation in Italy
2245,Risk communication,Educate and actively communicate with the public,Encourage hand hygiene,Promotes use of hand disinfectants
2248,Healthcare and public health capacity,Increase availability of PPE,PPE for healthcare professionals in airports,
2249,Healthcare and public health capacity,Increase in medical supplies and equipment,"Inventory, restock, and acquisition of medical devices, protective equipment, face masks, and biocides necessary for hospitals",
2250,Healthcare and public health capacity,Enhance laboratory testing,Increase testing capacity (number tests),contract signed for purchase of themal scanners and diagnostic equipment
2251,Healthcare and public health capacity,Increase in medical supplies and equipment,themal scanners,contract signed for purchase of themal scanners and diagnostic equipment
2252,Environmental measures,Environmental cleaning and disinfection,Hospitals,
2255,Environmental measures,Environmental cleaning and disinfection,Supermarkets and stores,
2256,Environmental measures,Environmental cleaning and disinfection,Private and public transport,
2257,Environmental measures,Environmental cleaning and disinfection,State Office for Invention and Trademarks,
2258,Healthcare and public health capacity,Increase isolation and quarantine facilities,Quarantine facilities implemented for travellers coming from affected areas,
2259,Travel restriction,Individual movement restrictions,Non-essential movements forbidden,Ban people to go outside their households from 22:00-6:00 except emergencies or written statements
2260,Social distancing,Mass gathering cancellation,"Conferences, meetings, trade fairs, etc.",Indoor cancelled
2261,Social distancing,Mass gathering cancellation,Cultural events,Indoor cancelled
2262,Social distancing,Mass gathering cancellation,"Festivals, faith-based events",Indoor cancelled
2263,Social distancing,Mass gathering cancellation,Limit up to 100 persons,Outdoor 1m distance required between persons
2265,Social distancing,Mass gathering cancellation,Limit up to 50 persons,Indoors
2266,Social distancing,Mass gathering cancellation,Sport events,school competitions
2267,Social distancing,Mass gathering cancellation,Sport events,Indoor cancelled
2269,Social distancing,Measures for special populations,Measures to limit contact to hospital patients,visitors to patients in hospitals not allowed
2271,Social distancing,Measures for special populations,More exposed professionals (not healthcare),PPE for airport staff and disinfectant
2273,Social distancing,Measures for special populations,More exposed professionals (not healthcare),protocol for management of deaths/body and conditions for relatives of the deceased
2274,Social distancing,Measures for special populations,More exposed professionals (not healthcare),closing of dentisty practices exception dental emergencies
2276,Travel restriction,Partial cancellation of international flights,High risk areas,
2277,Travel restriction,Partial cancellation of international flights,Passenger Flights Italy-Romania suspended,
2278,Travel restriction,Partial cancellation of international flights,"Suspended Wizz Air Route Cluj-Bergamo, Cluj-Treviso",
2279,Travel restriction,Partial cancellation of international flights,,
2280,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,"Italy,  China, Iran, South Korea"
2282,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,quarantine for people returing from areas with extended local transmission
2283,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,"self-quarantine for people that returned within the past 14 days from affected areas, other than the ones with extended local transmission"
2284,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,Quarantine
2286,"Case identification, contact tracing and related measures",Enhance detection system,Research and test of contacts,enhanced to 'second degree contact'
2287,"Case identification, contact tracing and related measures",Enhance detection system,Research and test of suspected cases,one bus passenger infected on a domestic journey
2288,Social distancing,Return operation of nationals living in regions at risk,China,Quarantine
2289,Social distancing,Small gathering cancellation,Closure of non-essential shops,Located in shopping centers/malls
2291,Social distancing,Small gathering cancellation,Limit up to 3 persons,Recommendation to avoid groups of more than 3 persons that do not share the same household
