"","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"2231","Social distancing","Mass gathering cancellation","Indoor activities","All sports facilities or gyms, where all kinds of gatherings and events can be held."
"2234","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Declare emergency state: 2 regions"
"2236","Resource allocation","Police and army interventions","To support the population","In affected areas"
"2239","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China",""
"2240","Travel restriction","Border restriction","Land border controls",""
"2243","Travel restriction","Airport restriction","Airports closed","2 airports"
"2256","Social distancing","Mass gathering cancellation","Indoor activities","gyms and swimming pools"
"2261","Risk communication","Educate and actively communicate with the public","Promote the 2m distance","Every place serving food has to respect the 1m distance"
"2262","Risk communication","Educate and actively communicate with the public","Promote the 2m distance","Encouraging to avoid close contact with others"
"2264","Case identification, contact tracing and related measures","Quarantine","People who travelled out of Nordic countries",""
"2272","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Highest level of alert"
"2275","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Spain"
"2276","Travel restriction","Border restriction","Land border controls","Border controls (re-instaured)"
"2277","Travel restriction","Airport restriction","Cancellation of international flights",""
"2288","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","For special populations"
"2311","Travel restriction","Public transport restriction","Train restriction","Train traffic suspended: with Spain"
"2316","Risk communication","Educate and actively communicate with the public","Information campaign","Airports. Face-to-face information about self-isolation and symptoms."
"2317","Risk communication","Educate and actively communicate with the public","Promote the 2m distance","Downloadable floor guides"
"2319","Risk communication","Educate and actively communicate with the public","Recommendation for home office","poster"
"2321","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Contact persons"
"2322","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Travellers retuning from China and with COVID-19 symptoms"
"2323","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Travellers retuning from any affect region and with COVID-19 symptoms."
"2324","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Elderly or medically vulnerable."
"2325","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Symptomatic persons"
"2326","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Set up crisis units: National Action Plan on COVID-19"
"2327","Healthcare and public health capacity","Repurpose hospitals","Requisition private hospitals",""
"2328","Healthcare and public health capacity","Increase availability of PPE","PPE","Increase number of PPE for healthcare professionals"
"2329","Healthcare and public health capacity","Increase in medical supplies and equipment","Ventilators","Ventilator stocks"
